ind	loc	latitude	longitude	pop	Bio01	Bio02	Bio03	Bio04	Bio05	Bio06	Bio07	Bio08	Bio09	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
PA1317_1	P0204	52.8123	-8.4563	IRE	9.945833380023638	6.758333494265874	39.2926364856377	385.6662482131613	18.5	1.2999999523162842	17.200000047683716	7.999999920527141	11.116666793823242	14.950000286102295	5.6666666467984514	1122	128	62	25.502825128748555	371	201	245	330
PA1323_1	P0205	52.8941	-8.5529	IRE	9.95833328862985	7.016666501760483	39.86742514167652	387.1858394721182	18.799999237060547	1.2000000476837158	17.59999918937683	7.983333269755046	11.18333355585734	14.949999968210856	5.616666694482167	1198	132	68	23.744609832104672	387	217	263	348
PA1350_1	P0209	53.4796	-9.1319	IRE	9.92083344856898	7.191666881243388	41.33141891435383	377.4884578308529	18.5	1.100000023841858	17.399999976158142	8.033333460489908	11.150000095367432	14.766666730244955	5.566666841506958	1088	121	60	25.249231006433213	358	197	219	311
PA1353_1	P0210	53.3474	-8.9437	IRE	9.920833304524422	7.058333486318588	40.1041693830243	390.6140693750119	18.799999237060547	1.2000000476837158	17.59999918937683	7.866666714350383	11.266666730244955	14.933333237965902	5.433333297570546	1069	116	63	21.934946545164046	341	205	232	295
PA1354_1	P0210	53.3474	-8.9437	IRE	9.920833304524422	7.058333486318588	40.1041693830243	390.6140693750119	18.799999237060547	1.2000000476837158	17.59999918937683	7.866666714350383	11.266666730244955	14.933333237965902	5.433333297570546	1069	116	63	21.934946545164046	341	205	232	295
PA1371_1	P0213	53.4355	-9.3071	IRE	10.283333311478296	6.149999757607778	39.67741901164164	357.13718118733755	17.899999618530273	2.4000000953674316	15.499999523162842	8.866666714350382	11.183333079020182	14.78333314259847	6.3166667222976685	1119	125	62	25.36805661684634	368	202	226	285
PA1373_1	P0213	53.4355	-9.3071	IRE	10.283333311478296	6.149999757607778	39.67741901164164	357.13718118733755	17.899999618530273	2.4000000953674316	15.499999523162842	8.866666714350382	11.183333079020182	14.78333314259847	6.3166667222976685	1119	125	62	25.36805661684634	368	202	226	285
PA1407_1	P0235	54.2649	-8.3346	IRE	9.662499924500784	6.091666499773662	36.69678609050884	390.9145745440702	18	1.399999976158142	16.600000023841858	5.933333218097687	11.016666809717814	14.649999777475992	5.199999888737996	1333	143	74	24.092098009315475	428	232	278	386
PA1407_2	P0235	54.2649	-8.3346	IRE	9.662499924500784	6.091666499773662	36.69678609050884	390.9145745440702	18	1.399999976158142	16.600000023841858	5.933333218097687	11.016666809717814	14.649999777475992	5.199999888737996	1333	143	74	24.092098009315475	428	232	278	386
PA1422_1	P0267	55.7514	13.0414	SSD	8.083333315948645	6.1499999314546585	26.739130136759385	641.3491830763095	19	-4	23	8.833333412806192	2.900000035762787	16.166666348775227	0.6666667362054189	594	64	29	21.45237600558998	183	107	161	132
PA1424_1	P0267	55.7514	13.0414	SSD	8.083333315948645	6.1499999314546585	26.739130136759385	641.3491830763095	19	-4	23	8.833333412806192	2.900000035762787	16.166666348775227	0.6666667362054189	594	64	29	21.45237600558998	183	107	161	132
PA1440_1	P0269	55.6778	13.4202	SSD	7.675000001986821	7.249999940395355	29.47154458740492	631.734621284639	19.5	-5.099999904632568	24.59999990463257	8.350000063578287	2.5666667421658835	15.733333269755045	0.36666669448216754	681	71	37	21.729861279869255	209	124	184	160
PA1448_1	P0271	55.6942	14.1677	SSD	7.708333348234494	6.600000113248825	27.966101722739886	624.1133181145743	19.100000381469727	-4.5	23.600000381469727	8.366666754086813	2.666666547457377	15.733333428700766	0.5333332816759745	666	69	37	19.62926815293702	204	129	168	162
PA1449_1	P0271	55.6942	14.1677	SSD	7.708333348234494	6.600000113248825	27.966101722739886	624.1133181145743	19.100000381469727	-4.5	23.600000381469727	8.366666754086813	2.666666547457377	15.733333428700766	0.5333332816759745	666	69	37	19.62926815293702	204	129	168	162
PA1450_1	P0271	55.6942	14.1677	SSD	7.708333348234494	6.600000113248825	27.966101722739886	624.1133181145743	19.100000381469727	-4.5	23.600000381469727	8.366666754086813	2.666666547457377	15.733333428700766	0.5333332816759745	666	69	37	19.62926815293702	204	129	168	162
PA1455_1	P0272	55.5792	14.3329	SSD	8.083333358168602	6.283333331346512	27.55847958108517	618.7242514606767	19	-3.799999952316284	22.799999952316284	9.016666650772095	2.899999996026357	15.950000127156576	1.0166667302449544	599	64	34	19.89640605366053	186	115	153	141
PA1456_1	P0272	55.5792	14.3329	SSD	8.083333358168602	6.283333331346512	27.55847958108517	618.7242514606767	19	-3.799999952316284	22.799999952316284	9.016666650772095	2.899999996026357	15.950000127156576	1.0166667302449544	599	64	34	19.89640605366053	186	115	153	141
